품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,diags_small_id
Maltese(말티즈),MN,2170,A_라라,s 잇몸이 빨갛고 유치가 흔들림 식욕 활력 컨디션 양호함 유치 견치 개 중 개는 뿌리 드러나있고 흔들림 하악은 튼튼함 개 모두 발치 예정 치석 많이 껴있으며 치은염 있음 치아방사선 촬영 후 뿌리의 유격 있으면서 기능 못하는 치아는 발치 필요할 수 있음 말씀드림 치아방사선 스켈링 폴리싱 유치 발치 day 내원 하여 호텔링 후 day 처치 후 박누리 선생님이 퇴원 안내 간단 주의사항 안내 잇몸 상태에 따라서 필요시 내복약 투약 다음주 day 최수의사가 사진 설명 드릴 예정 동의서 작성 완료 유치 견치 개 발치 예정 방사선 스켈링 후 발치가 필요한 영구치가 있으면 개 까지는 동의 개 이상 있으면 급한것 개만 발치 후 나머지는 추후 발치 ,,,,,,,357,6
K.C(Korean Cat),MN              ,2095,F_센트럴, month 간 배뇨곤란 month 간 식욕부진 d 처방식 사료 먹는중 ray 방광확장 sono 방광내 슬러지 방광확장 chemistry azotemia 탈수 u.s.g. money 오늘 늦게 면회 내일 time 경 면회예정 ,,"901,21,62", 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,"배뇨장애(통증, 곤란), 빈뇨, 이소배뇨,식욕부진, 식욕저하,고질소혈증","배뇨장애(통증, 곤란), 빈뇨, 이소배뇨",126,2
Labrador Retriever(래브라도 리트리버),MN,2170,D_VIP, money 선결제 하셨습니다. 송이 치석이 있어 스켈링 차 내원. 종양 수술 후 종양의 재발 또는 전이 여부 및 건강검진 원하셔서 ct 촬영. 평상 시 생활에 특별한 사항은 없으나 귀를 자주 털음. 그것 때문에 전에 다른 선생님이 귀 봐주시기도 했는데 특별한 이상 없다는 이야기 들으셨음. 혹시 종양과 연관성이 있는 증상일까 염려하심. physical examination b.a.r normal skin turgor mild dental calculi. 전반적으로 미약한 편이나 그나마 가 가장 많음. ci time derate gingivitis lab exam cbc mild thrombocytopenia chem ea n.r.f radiography thorax n.r.f mild dental calculi gingivitis tx scaling polishing 정상적으로 마취회복 마취중 우측 수평이도 확인시 털과 ear wax 확인 됨. 제거 후 chx 으로 세척. ce 치석 정도가 심하지는 않으 편이었으나 우측 상악 송곳니가 그나마 제일 잇몸에 염증이 있는 편이었습니다. 앞으로도 칫솔질 잘 해주시고 칫솔질로 해결되지 않는 부분은 year 에 한 번씩 스케일링 해주시길 권장드립니다. 오른쪽 귀 수평이도에 털과 까만 귀지가 껴있었습니다. 이것이 귀를 털었던 원인이었을 가능성이 있습니다. 수직이도가 없다보니 이도에 털이 잘 낄 수 있는 환경이 된 것 같습니다. 이 부분도 정기적으로 귀세척해주시길 권장드립니다. ct촬영 검사 결과는 판독 결과 나오면 내일 유선상으로 설명드리도록 하겠습니다. ,치석,45, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,791,6
K.C(Korean Cat),MN,건강검진,D_VIP,건강검진 진행함 영상검사 ray검사 복부초음파 by hyuna no remarkable findings 혈액검사 cre pcv 그외에 특이소견없음 소변검사 비중 높음 money 눈검사 정상 sdma 검사 의뢰합니다. ,,,,,,,121,9
Mixed(혼합),FS              ,2048,G_부천이지,리셉션 외래진료 주증상 설사 구토 증상발현일 어제밤부터 진행 식욕 안먹음 배변 배뇨상태 설사만 계속함 기타 보호자 전달 사항 없음 day 가평 애견펜션 다녀오고 day 금일 부터 증상 다롱이가 먼저 식사 변화 없음 물은 펜션 수돗물 추가 접종 진행 안하고 있음 보호자요청으로 병리검사 진행 분변검사 호중구 이상증식 혈액검사 nrf gut dysbiosis ce 약부터 먹여보고 지켜보신다고 함 아롱 다롱 같은 증상을 보이므로 전염성 질병일 가능성 있음 현재 아롱이 상태가 더 좋지 않고 다롱이도 안좋아질 수 있음 tx. metoclopramide time kg sc rx. 내복약 month 프라메딘 알 오전 세레니아 time 오후 분배 담당자 분배 방법 수동 복약 지도 주의사항 아침 저녁약 다름 ,,"1,2,21", 세균성 장염 , 소화기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),식욕부진, 식욕저하",구토(급성/만성),391,0
Poodles(푸들),MN,2126,B_W,아이가 일주일에 한번씩 침대에 오줌을 싸는 것이 있었음 혼을 심하게 냈었고 그랬더니 아이가 똥 오줌을 지렸고 그후 강직증상이 있었음 time 전쯤에 발생함 그 후 침흘림이 생김 crt 정상 plr 정상 menace 정상 보행 이상 없음 외상은 전혀 없음 엉덩이쪽을 신문으로 때렸음 목욕은 하고 온 상태 어제 새벽에 구토가 있었음 락액락 용기에 이빨자국이 있었음 요즘 변이 조금 무림 식욕 있음 평상시와 차이 없었음 예방접종 다함 간수치 상승과 위 확장이 생겼음 초음파로 유문부만 확인 진행함 대기하면서 침흘림증상 사라짐 설사에 준해서 내복약 처방함 제산제 포함 증상지속시 내원할 것 ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,326,4
Schnauzers( 슈나우져),F               ,2133,E_24시아이, 어제 오른쪽 뒷다리에 마비가 오는 듯 왼쪽으로 기우는 증상이 있었음. 순간 그러더니 이후 괜찮아졌음 오늘 아침도 괜찮음 본원에서 자궁축농증 방광결석 수술받은적 있음 식욕 활기 백신 사상충 pe 청진 murmur 등쪽 종괴 cbc crp serum chem ray time arrowing 심비대 방광내 결석 등쪽 종괴 지속적으로 문제 될수 있으므로 제거수술 추천 방광결석 방광염 유발 등 문제 될 수 있음 심잡음 심함 디스크 침치료 추천 주 회 month 심장초음파 ecg . ,"2001,2133","23,1,2,14,21,75", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"보행이상, 파행(전지, 후지),구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),호흡곤란,식욕부진, 식욕저하,심잡음","보행이상, 파행(전지, 후지)",268,5
Maltese(말티즈),FS              ,2116,F_센트럴,유선 종양 수술 내원. 최근에 크기 커지는 거 같으며 촉진 상 근층 침습 가능성 높음. 재발 가능성 있으나 현재 크기가 너무 크므로 삶의 질이 떨어짐 삶의 질을 개선 시키기 위한 수술적 제거 실시. 혈액 검사 결과 응고계 수치 양호 염증 겸미한 상승. 오늘 수술 하여 month 입원 후 day 퇴원 예정. 부토판올 amp 프로포폴 time ,,221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",191,3
Dachshunds(닥스훈트 ),FS              ,2133,E_24시아이, 오전에 츨근하실떄 개껌 늘 개껌 주고 감 어제 산책했고 밥도 잘먹고 활발 보호자가 저녁에 오니 개껌그대로 나오고 사료분출물 구토여러번 온군데에다 해놨다고 변 본흔적 기립불능 발작한다고 응급으로 내원 문진하면서 어제 목욕시켰는데 다리를 빼서 좀 평소와 다르게 싫어하는것 같았다고 말씀함 보호자가 밍키가 옆으로 비틀비틀 중심을 못잡고 흰자위가 보였다고 해서 등짝을 팍팍 때렸다고 함 이전에 디스크로 치료받은적 없음 식욕 활기 백신 사상충 mentaion 정상 gait 실조 왼쪽 전지 후지 너클링 왼쪽 전지 후지 모두 부전마비 꼬집어도 자극없음 냉감 약간. pupil size 다름 od 산동 os 축동 crp gotgpttbil 이외 nrf 일반 플레인 사진으로 정확한 판독 불가 mri 검사 필요성 고지 신경계쪽 이상으로 인한 부전마비고지 mpss time time time time처치. month month 밤 time 까지 입원경과보면서 논의 . ,,"1,2", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),478,5
K.C(Korean Cat),F,2170,D_VIP, 주간모니터 자발식욕 없음 내일 치과치료위해 금일 검사 진행함 검사상 globulin 수치 매우 높음 구내염 영향 금일하루 수액처치이후 내일 치과치료 예정 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,87,6
Domestic short hair(코숏),FS              ,2092,H,오전에 소변 소량보고 화장실을 들락날락 한달반전쯤 혈뇨가 있어서 약은 먹였었음. 아이 예민함. 오늘 오전부터 소변 못봄 한달반 전에 혈뇨 증상 있어서 타병원에서 내복약 처방 받아 month 먹였음 그이후 혈뇨 증상 완화됨 year 전부터 간헐적인 혈뇨 증상 있었음 그때마다 타 병원에서 증상에 대한 대증 치료만 받으셨음 식욕 원래 입이 짧기는 하지만 최근 식욕부진 증상은 없었음 배변상태 양호 p bp mm set pink skin turg crt bcs blood work nrf ray 방광내 결석 us abd 방광내 결석 방광벽 비후 hwt neg ua sg money protein blood leucocyte 내일 오전중 흉부 방사선 검사 전해질 검사 예정 특이사항없으면 내일 오후중 방광결석 제거 수술예정 결석성분의뢰예정 동의서 작셩 완료 방광결석 제거수술 마취비 정도 입원 month 입원중 검사 결석성분의뢰 등 총 정도 예상됨 ,,, 방광 결석 , 비뇨기과 질환 ,,,471,1
Russian Blue Cat(러시안 블루 고양이),FS              ,2275,H, 층 난간에서 낙상 떨어지면서 자전거 보관대 플라스틱 지붕에서 바운드되고 보도 블럭으로 떨어짐 낙상 직 후 바로 내원하심 mental dull 체온 정상 호흡 deep 혈압 측정하지 못함 구강 점막 창백하고 건조함 plr 양호함 내원 직 후 산소 처치 및 덱사메타손 sc실시 방사선상 좌측 늑골골절 좌측 흉강 기흉 소견 좌측 치골 골절 및 우측 천장골 탈구 확인됨 혈액검사상 혈당 및 alt 상승소견 보임 기흉제거 실시 time 호흡 안정되고 호흡수 회정도로 유지됨 밤 time 방사선상 기흉 다시 미약하게 보임 첫 날 비용 결제 완료 plan 기흉 제거 후 다시 차는 양상 평가하고 차는 속도가 빠르면 마취 후 흉관 장착 실시하기로 함 마취 실시했을 때 ct 촬영 함께 실시하기로 함 골반 골절 마취가 가능한 시기에 ct 촬영 실시하고 수술적 교정 실시 예정 먼저 쇼크 처치 및 환자 안정화에 집중하고 마취가 가능한 시기에 골절 처치를 실시할 예정이지만 흉강내 기흉 소견이 심해지면 마취 후 ct 촬영과 흉관 장착을 실시하고 기흉 소견이 호전 되면 골반 골절을 교정하기로 함. 추 후 기흉 소견이 호전되지 않으면 폐엽 절제술 가능성도 고지함 밤 사이 기흉이 심해지거나 폐출혈 등에 의해 사망가능성 고지함 비용은 처치나 수술이 들어갈 때 자세히 설명하고 진행하기로 함 ,,, 사고 (교통 사고 포함) ,전신성의 질환,,,654,8
Chihuahua(치와와),F               ,2133,D_VIP,고개를 까딱 거리고 불안해하고 잠을잘 못자요 접종한지 month 정도 되었어요 인플루엔자 차 접종 한지 month 정도경과. 접종 후 불안증상보이기 시작. 고개를 까딱거리는 틱증상 평소와 보행자세 다름 엉덩이 치켜드는 증상보임. 밤에 잠을 못자고 통증호소. 언제 발생한지 알수는 없으나 애드보킷 도포한 자리에 원형탈모. 발적증상은 없음. 체온정상 청진상 특이사항없음. 복통없음. 간헐적 틱증상 확인. 사지 강직성 보행. 비틀거림은 없음. plr normal 안구진탕 없음. 신경반사 dull하지 않음. deep pain에 대한 반응이 좋지도 않고 나쁘지도 않음. 통증호소부위 없음. 천공열림. 혈검 특이사항없음. 방사선상 특이사항없음. p ddx. cdv hydrocephalus 다른 뇌질환 비특이적 스트레스 장애 mri로 뇌질환 여부를 감별할 필요가 있을 것으로 보이나 원인이 안나올 수도 있음. 헬릭스 안내드렸으며 아직 생각해보고 직접 전화하고 가시겠다고 하시어 결정되면 전화달라고 말씀드림. 헬릭스로 검사결과 전송해야함 진통제만 처방해드리고 신경증상일 경우 증상이 점점 악화될 수 있음 말씀드림. ,,29, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"부전마비, 완전마비","부전마비, 완전마비",562,5
Mixed(혼합),F               ,2116,E_24시아이, 작년부터 생겼음 지역병원에서 소염진통제 처방만 받음 당일 수술적문의로 여러군데 다녔음 식욕저하 구토 설사 간간히 합니다. 식욕 활기 백신 사상충 영상 복강내 종괴 비장종양 확인 자궁확장x cpl kit kit 음성 lac cre dimer 암진단키트 악성가능성 높게 확인 신부전 췌장염 mods . dic등으로 진행될수 있음 적극적인 수술접근 어려움 비장종괴 자궁적출 유선전출 삶의질 살아가는 기대수명이 짧아서 불편하지 않는 범위의 수술접근 유선적출만 부분적 접근 자궁난소 제거안되어서 유선종양 지속적으로 생길수 있음 전이평가 모니터링 필요 입원하면서 수치하락 관건 졸레틸 time 박비용 실제입원 박 . ,,221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",340,3
Maltese(말티즈),FS              ,2092,F_센트럴,cc 스켈링 종합검진 내원 obj 방사선 방광 결석 개 초음파 방광 결석 time 개 혈액검사 hyper ca mild dx 방광 결석 음수량 늘리며 지켜보도록 month 후 rc ,x,, 방광 결석 , 비뇨기과 질환 ,,,101,1
Miniature Schnauzer(미니어쳐 슈나우져),FS,2116,D_VIP,s 컨디션 양호 식욕 좋음 사료 고구마 단호박 브로콜리 황태 달걀노른자 닭가슴살 캔 시판 간식 구강 소독 칫솔질 해주고 있음 bptime hg 유선종양 lt. 직경 cm 이상 이전보다 커짐 혈검 hct glo 상승 alp 상승 dimer 정상 복부초음파 local scan by hyuna findings 복강 내 종괴 크기 증가 활발한 혈류 반응 후대정맥으로의 침습 심화 후대정맥 확장됨 복강 종양 상태 악화로 현재 특별한 증상 없으나 응급 상황 발생할수 있는 점 안내 유선 종양의 경우 전이 평가 후 수술적 절제 조직검사 필요 수술은 원치 않으심. 한달 후 재검 ,2082,15, 유선 종양 / 유방 종괴 , 생식기 질환 ,출혈,출혈,317,3
Poodles(푸들),MN,2048,D_VIP, money 결제하셨습니다. 미리 포도 섭취 오늘 새벽부터 혈변 cc hematochezia onset today 포도를 먹었을 시간 어제 오전 time time 사이 혈변을 본 시간은 오늘 새벽으로 추정됨 포도색깔 혈변 식욕 없음 구토는 없었음 혈액검사 nrf 분변검사 clostridium spp. clostridial enteritis ap 박주형 선생님께 인계 ,,42, 세균성 장염 , 소화기 질환 ,혈변,혈변,206,0
Maltese(말티즈),F,2185,C_잠실ON, sst os od 좌측 대퇴부 근육량 저하 우측과 비교시 저하 돼 있음 rt mpl lt patellar bone 거의 움직이지 않음 보행이상 빠른 보행 시 lt hind limb non weight bearing lamness 치석 치아 변색 구취 스켈링 필요. 사진 참고 안약 옵티뮨 sid 포러스 tid 라큐아 tid 향후 관리계획 좌측 후지,,, 슬개골 (아) 탈구 ,근육 골격 질환 ,,,195,7
Dachshunds(닥스훈트 ),FS              ,2133,E_24시아이, 디스크. 식욕 없음 활기 mild. 백신 사상충 복부촉진 긴장감 척추뼈 근처 근육 촉진시.통증호소 후지파행 없음. 혈액검사 ray로 기타질환 rule out. 치료비 부담때문에 입원보류. ,2133,23, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",106,5
Maltese(말티즈),F               ,2048,G_부천이지,s month 중순 경 중동동물병원에서 유선종양 제거술 이후 유합양호하지 않아 month 뒤쯤 재수술 이후 혈변증상 발현 항생제 투약 꾸준히 하였으나 증상호전없음 지난 day 에는 신경증상 발현 점점 변이 물러지는 상태 최근에는 구토증상도 발현됨 신체검사 bt 도 heart murmur gr iii iv 혈액검사 전반적 간수치 상승 crp 상승 흉부 복부방사선 검사 thorax 외측상에서 time 방향 경미한 bulging으로 미약한 좌심방비대 가능성 있음. abdomen 간이 늑골궁 밖으로 돌출되어 간비대 관찰. 그 외 방사선상 특이소견 없음. 복부초음파 검사 환자는 심한 흥분상태로 스캔에 어려움 있음 담낭내 sludge 다량관찰되며 간 실질내 경계 불명확한 저에코성 결절들 관찰됨. 양측 신장 피질 에코 상승되었으며 피질 수질 경계 불명확. 만성신질환 의심. 좌측 부신 time 우측은 time 로 양측 모두 정상범위 upper margin. 좌측 난소에 최대 cm 크기의 무에코성 cyst 여러개 포함. 좌측 자궁각은 정상적으로 관찰. 우측 난소 또는 자궁각에서 cm 이상 크기의 무에코성 cyst들 다수 관찰. 종양성 변화까지 고려 필요. 방광 cranial쪽 벽에서 불규칙하고 결절형태의 내강쪽으로 자라난 병변들 관찰됨. 환자의 흥분으로 혈류 흐름은 확인하지 못하였으며 실질에 calcification 관찰. 요도 입구 위치에서도 약 cm 높이의 결절성 병변 관찰. 결장벽은 약 time 로 두꺼워짐. 심장초음파 검사 echocardiography 중격 변위 심하지 않음. 판막 두꺼워짐. la ao ratio는 배로 moderate la enlargement. mode reference range mm ivsd lvidd pwdd lvids fs color doppler mode mr 역류량 벽을 따라 흐르는 역류 형태로 정확한 역류량 평가 안됨 역류속도 time pulsed wave doppler mode mv flow wave time e ratio tissue doppler mode septum wall e ivrt e e ivrt free wall e ivrt e conclusion cw 검사에서 역류 밀도도 어느정도 진하게 나오며 color doppler 검사에서도 역류량이 꽤 많을 것으로 생각되어 moderate mr 상태로 보임. 수축력 감소는 없으나 a ratio 역전으로 이완기 장애 관찰. 현재 volume overload 및 preload는 많이 증가되지 않음. 세균성장염 다른 감염체 확인위해 추가적 pcr 검사 의뢰 중 방광의 변화 관찰 부신의 비대 자궁난소의 변화 관찰 간의 실질변화 tx ampicillin time kg tid iv metronidazole time kg bid iv famotidine time kg bid iv tramadol time kg tid iv fluid therapy d tathion pentoxyfylline taurin 입원 후 경과지켜보기로 함 e 대증처치하며 질병의 경과를 지켜봐야하는 상황임 주호소하시는 문제 해결 후 생식기 및 비뇨기 부신 등에 대한 정밀검사도 필요할 수 있음 난소자궁 및 방광의 변화는 종양성 변화일수도 있어 추후 침습적 치료가 진행될수도 있음 오후관리사항 food 식사종류 양 d d 식욕상태 둘다 식욕없음 급식방법 핸드피딩 urine feces etc tx ,"2091, 2085, 2231","1,2", 세균성 장염 , 소화기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),1668,0
K.C(Korean Cat),FS,2170,D_VIP, money 미수발생 기호연 year 전에 개정도 이빨 발치 진행함 최근들어 식욕은 양호하지만 침을 흘린다고 함 마취하 구강검사 구강검사 by dr. 엽 premedication atropine time kg sc butorphanol time kg iv cefazolin time kg iv metronidazole time kg cri for time propofol induction isoflurane maintenance findings 번 치아 주변 severe한 gingivitis. mobility 없음 time 변 mild to moderate gingivitis. mobility 없음 time 변 mild to moderate gingivitis. moderate mobility. 그 외 치아 없음 time ld tartar 양측 tonsil swelling 좌측 윗입술 점막쪽 stomatitis 혀 base 부근 양옆 margin에 stomatitis tx tooth extraction 스케일링 구강 소독 chx 송곳니 제외한 나머지이빨을 모두 발치하였습니다. month 간격으로 스켈링 해주시는게 좋을것 같고 만약 지속적인 치주염 생긴다면 송곳니도 발치 진행해야합니다. ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,615,6
Mixed(혼합),MN              ,2133,E_24시아이, month 전 산책후 보행이상 식욕부진 보행은 나아졌으나 식욕은 떨어진 상태 열도 있는 듯함 도 혈액검사상 경도의 탈수 소견 ce 집에서 상태 지켜보신다고 함 호전 없을시 추가적인 검사 받으세요 . ,2133,23, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"보행이상, 파행(전지, 후지)","보행이상, 파행(전지, 후지)",112,5
Maltese(말티즈),MN              ,2133,E_24시아이, 집에서 여전히 아파한다고 다시 내원함 식욕 활기 백신 사상충 하복부통증 복압상승 고유지각반사 느림 특히 우측뒷다리 lumbar back pain ivdd grade month month 까지 입원조치 비용부담으로 다니던 병원에서 연계한다고 박비용 및 검사비만 내고 퇴원요청 . ,,4, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,통증,통증,156,5
Pomeranian(포메라이안),F,2185,B_W, month 말경 안고 있다가 떨어짐 month month 이안에서 mri촬영을 진행하고 spinal cord출혈이 존재하느 상태이었음 현재 deep pain은 있는 상태임 양측 술개골 탈구 giv 오늘 아침 time 에 사료를 먹음 금일 kishikami적용한 근육 완화 수술한 이후에 month 후 mpl수술을 진행 예정 month 말경 안고 있다가 떨어짐 month month 이안에서 mri촬영을 진행하고 spinal cord출혈이 존재하느 상태이었음 현재 deep pain은 있는 상태임 양측 술개골 탈구 giv 오늘 아침 time 에 사료를 먹음 금일 kishikami적용한 근육 완화 수술한 이후에 month 후 mpl수술을 진행 예정 tx s pain control ketamine time kg lidocaine time kg maintenous fluid cefradine time kg tid cimetidine time kg tid tramadole time kg tid enrofloxacin time kg bid taurine time head sid methocarbamole time kg tid vita b.c 각 ample head ,,, 슬개골 (아) 탈구 ,근육 골격 질환 ,,,596,7
Poodles(푸들),FS              ,2116,E_24시아이, 외음부붓고 생식기분비물나와서 내원함 오늘 발견함 현재 식욕은 있음 혈뇨증상 보임 pe 유선종양 확인 time 좁쌉만큼 잡히는부분도 확인됨 스켈링과 한쪽눈 적출했음 녹내장 bcs 마른체격 심잡음 원내 패드에 생리혈섞인 분비물 패드에 묻는것 확인함 질에서 분비물 확인됨 식욕 활기 백신 사상충 영상 검사 자궁확장소견 심하지않음 오픈형이여서 흘러나와서 그런듯 방광벽비후 방광염 고지 ce 전유선적울이 원칙적이지만 수술시간이 길고 환축상태 고려되어 부분적울로 안내함 유선 적출 보호자 당장 수술적 어려움 방광염약 month 분 요청 ,"2091,2116",8, 유선 종양 / 유방 종괴 , 생식기 질환 ,혈뇨,혈뇨,295,3
Shih Tzu(시추),MN,2092,D_VIP, dr.조서현 subjective time 정도전부터 갑작스럽게 우측눈에 궤양 소견 발생. 우측 눈에 안약점안은 계속 해오셨음. 어릴때 좌측 후지 수술 받으셨음. 재수술까지 총 회의 수술 병력. 만성적인 후지파행증상은 계속해서 보였다고 하심. 호동물병원에서 방사선 촬영 후 결석이 방사선에서 관찰되었음. 치석이 심한편. 구취가 심하다고 하심. 식욕이 별로 없는편. 배변 배뇨를 직접 보시진 못하셨다고 하심. objective physical examination gc mentation dull bcs mmc pink plr normal crt sec skin turgor normal sk multiple skin papules eent severe dental callus formation od deep corneal ulcer desmetocele ms lt. medial patellar luxation grade cv murmur sound fromarea re nrf gi nrf ug nrf nv neck pain. 움직임이 적으며 standing 자세에서 목을 아래쪽으로 늘어뜨리고 있는 모습. laboratory examination cbc thrombocytosis elec nrf chem elevated alp coag not performed radiographic examination rt. side heart enlargement cystolithiasis urethrolithiasis im pin inserted on proximal tibia assessment dx deep corneal ulcer urolithiasis medial patellar luxation ddx cervical ivdd coms right heart failure plan 보호자분 수술비 부담에 의해 수술진행 원치 않으심. 호 동물병원 원장님과 통화 완료. 원장님 혈액검사 결과 원하셔서 이메일 발송해 드렸습니다. ,궤양,"41,38,76", 방광 결석 , 비뇨기과 질환 ,방광결석,방광결석,971,1
Mixed(혼합),FS,2116,D_VIP,s 좌측 번째 유선부위 종괴 식욕은 좋지만 체중은 약간 빠지는것 같다고 함 좌측 번째유선부위에 조그만 mass 번째 유두에서 혈액성 삼출물 나오고 유선부위에 혈괴같은 종괴 관찰됨 염증과 종양의 가능성이 모두 있는 상태이지만 fna가 실질적으로 출혈의 위험성때문에 가능하지 않아 제거후 조직검사가 가장 확실한 방법이라고 안내드림 마취의 부담때문에 마취전검사 진행함 혈액검사 bun 약간 상승 생식중이라고 하심. 생식의 영향 빈혈은 호전중 그외에는 특이소견 없음 복부초음파 full scan by hyuna findings 간 에코의 전반적인 상승 비장 실질의 작은 다발성 저에코 결절들 방광 벽의 미약한 비후 time 및 불규칙한 내벽 증식 췌장의 미약한 비후 time 및 에코 저하 십이지장의 corrugation imaging dx ddx vacuolar hepatopathy hepatic lipidosis steroid hepatopathy splenic nodular hyperplasia cystitis acute pancreatitis with duodenitis 마취전검사에서는 위험성이 높지는 않음. 금일 번사이 유선제거수술 진행함 비용은 대략 money 선으로 안내드림 sx lt. time regional mastectomy op 송지은 as and supervisor 안승엽 ant 김다혜 anesthesia premedication atropine time kg sc fentanyl money mg kg iv lidocaine time kg iv midazolam time kg iv cefazoline time kg iv inducation propofol time kg iv maintenance isoflurane intraoperative analgesia fentanyl lidocaine cri surgical procedure dorsal recumbency로 포지셔닝 좌측 번 유선 주변으로 skin incision 복벽 level까지 undermining 후 skin incision 따라 피하 incision 복벽으로부터 유선 조직 떼어냄 lt. caudal superficial epigastric a. v. 결찰 후 절제 walking suturue using maxon multiple simple inturrupted sq suture using maxon multiple simple inturrupted skin suture using nylon surgical findings 좌측 서혜부 림프절 크기 정상 그 외 특이 사항 없음. postoperative analgesia fentanyl lidocaine cri followed by fentanyl patch ,,27, 유선 종양 / 유방 종괴 , 생식기 질환 ,"체중 변화, 체중 증가, 체중 감소 ","체중 변화, 체중 증가, 체중 감소 ",1354,3
Maltese(말티즈),FS              ,2116,G_부천이지,리셉션 내과재진 내복약투약 또는 안약점안 은 잘 이루어 졌는지 어제까지 약 다먹고 오늘아침에는 밥에 섞어줬는데 반 정도 남김 현재상태 양호 추워함 식욕 양호 배변 배뇨상태 정상 참았다가 많이 싸는 편 치료 중 불편한 사항 없음 기타 보호자 전달 사항 없음 보호자 요청으로 병리검사 진행 엉상검사 흉부 복부방사선 검사 심장 및 폐 특이소견 없음. 간 크기 정상. 우측 슬개골 내측 변위. 초음파 검사 간 실질 특이소견 없음. 담낭 스캔되지 않음. 방광내 time 크기의 결석들 관찰. 방사선에서는 명확히 확인되지 않음. 혈액검사 간효소수치 상승 오후관리사항 food 식사종류 양 원내 유리너리캔 스푼 식욕상태 식욕좋음 급식방법 자율 urine feces etc 치료 및 상담내용 tx 수액치료 타치온 타우린 오니푸랄 e 수술 전 입원치료후 간수치 변화하는 양상 관찰 후 수술결정 수술하게되면 오후예정 담담의 부재중이지만 외과원장님 및 타수의사에게 인수인계 보호자 동의 술전 ct 촬영후 병변의 양상에 따라 수술범위 결정 예정 수술명 및 검사 감 조직검사 유선종양 조직검사 유선종양적출 중성화 ,2081,221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",554,3
Turkishangora(터키쉬 앙고라),M,건강검진,D_VIP,s 어제 동물 구조 관리협에서 분양 받으심 활력 양호 식욕 음수력 양호 배변 배뇨 양호 재치기 하얀색 번 정도 관찰 종합 검진 차 내원 하심 food 로얄캐닌 kitten cbc 혈청화학 saa felv fiv 사상충 항체가 흉방 pe bcs normal skt pink mm crt sec no heart murmur normal lung sound blood work nrf felv fiv negative 항체가 fplv herpes calici 사상충 negative 흉방 nrf 전반적인 상태 양호 herpes vaccine 결과 weak 상태로 추가접종 회 필요 심장 사상충 예방 필요 재채기 증상 모니터링 ce 치아 관리 방법 month time 오전 time 반 예약 추가접종 ad 재채기 증상 모니터링 유기묘 할인 통한 적립금 안내 만 money ,,,,,,,427,9
Mixed(혼합),FS,2116,B_W,유선 종양 좌측 번 으로 내원 time 전후 느낌 수컷 year 령이 최근에 입양됨 같이 합쳐 살게됨 우측 번에 작은 종괴 time 전후 세침 검사상에 명확한 악성 소견 관찰되지 않음 촉진상에 석회화 느낌. 작은 것은 크기가 작아서 세침 검사 진행하지 못함. op 제대허니아 수술 난소자궁 적출술 좌측 번 종괴 제거 우측 번 종괴 제거 ,2065,, 유선 종양 / 유방 종괴 , 생식기 질환 ,,,188,3
Poodles(푸들),F               ,2275,E_24시아이, 강아지 목줄 안한상태로 산책중 교통사고 당함 바로 응급으로 내원함 식욕 활기 백신 사상충 rad 골반골절 미세한 폐출혈 확인 방광내 소변이 없어서 방광손상이나 파열은 입원중 모니터링 복강파열이나 방광파열 확인되면 밤에 보호자 call 드리기로 교통사고 month 안정화 후 수술논의 당일 급사 발작 경련 가능성 안내 month 입원 ,,15, 사고 (교통 사고 포함) ,전신성의 질환,출혈,출혈,187,8
